abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
12PPDStex	"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	12ppd-S[e] <==> 12ppd-S[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	23camp[e] <==> 23camp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	23ccmp[e] <==> 23ccmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	23cgmp[e] <==> 23cgmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	23cump[e] <==> 23cump[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23DAPPAtex	"2,3-diaminopropionate transport via diffusion"	23dappa[e] <==> 23dappa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
26DAHtex	"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	26dap-M[e] <==> 26dap-M[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
34dhpactex	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	34dhpac[e] <==> 34dhpac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	3amp[e] <==> 3amp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	3cmp[e] <==> 3cmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	3gmp[e] <==> 3gmp[p]	( b0241  or  b1377  or  b2215  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3PEPTtex	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdap[e] <==> LalaDgluMdap[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)	3ump[e] <==> 3ump[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
4HOXPACDtex	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	4hoxpacd[e] <==> 4hoxpacd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
5DGLCNtex	5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)	5dglcn[e] <==> 5dglcn[p]	( b0241  or  b1377  or  b0929  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ABUTtex	4-aminobutyrate transport via diffusion (extracellular to periplasm)	4abut[e] <==> 4abut[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACACtex	acetoacetate transport via diffusion (extracellular to periplasm)	acac[e] <==> acac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACALDtex	acetaldehyde transport via diffusion (extracellular to periplasm)	acald[e] <==> acald[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACALDtpp	acetaldehyde reversible transport (periplasm)	acald[p] <==> acald[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
ACGAL1Ptex	N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)	acgal1p[e] <==> acgal1p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACGALtex	N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	acgal[e] <==> acgal[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACGAM1Ptex	N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm)	acgam1p[e] <==> acgam1p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACGAtex	N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	acgam[e] <==> acgam[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)	acmana[e] <==> acmana[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACMUMtex	N-acetylmuramate transport via diffusion (extracellular to periplasm)	acmum[e] --> acmum[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACSERtex	O-Acetyl-L-serine transport via diffusion (extracellular to periplasm)	acser[e] <==> acser[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ACtex	Acetate transport via diffusion (extracellular to periplasm)	ac[e] <==> ac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ADEtex	adenine transport via diffusion (extracellular to periplasm)	ade[e] <==> ade[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
AGMtex	agmatine transport via diffusion (extracellular to periplasm)	agm[e] <==> agm[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
AKGtex	alpha-ketoglutarate transport via diffusion (extracellular to periplasm)	akg[e] <==> akg[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ALAALAtex	D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm)	alaala[e] <==> alaala[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ALAtex	L-alanine transport via diffusion (extracellular to periplasm)	ala-L[e] <==> ala-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ALLTNtex	allantoin transport via diffusion (extracellular to periplasm)	alltn[e] <==> alltn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
AMPtex	AMP transport via diffusion (extracellular to periplasm)	amp[e] <==> amp[p]	( b0929  or  b1377  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ARGtex	L-arginine transport via diffusion (extracellular to periplasm)	arg-L[e] <==> arg-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ASCBtex	L-ascorbate transport via diffusion (extracellular to periplasm)	ascb-L[e] <==> ascb-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)	asn-L[e] <==> asn-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ASO3tex	arsenite transport via diffusion (extracellular to periplasm)	aso3[e] <==> aso3[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ASPtex	L-aspartate transport via diffusion (extracellular to periplasm)	asp-L[e] <==> asp-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
BALAtex	beta-alanine transport via diffusion (extracellular to periplasm)	ala-B[e] <==> ala-B[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
BUTSO3tex	butanesulfonate transport via diffusion (extracellular to periplasm)	butso3[e] <==> butso3[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
BUTtex	Butyrate transport via diffusion (extracellular to periplasm)	but[e] <==> but[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CA2tex	calcium (Ca+2) transport via diffusion (extracellular to periplasm)	ca2[e] <==> ca2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CD2tex	cadmium (Cd+2) transport via diffusion (extracellular to periplasm)	cd2[e] <==> cd2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CHLtex	choline transport via diffusion (extracellular to periplasm)	chol[e] <==> chol[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CITtex	citrate transport via diffusion (extracellular to periplasm)	cit[e] <==> cit[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CLtex	chloride (Cl-1) transport via diffusion (extracellular to periplasm)	cl[e] <==> cl[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CMPtex	CMP transport via diffusion (extracellular to periplasm)	cmp[e] <==> cmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CO2tex	CO2 transport via diffusion (extracellular to periplasm)	co2[e] <==> co2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CO2tpp	CO2 transporter via diffusion (periplasm)	co2[p] <==> co2[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
COBALT2tex	cobalt (Co+2) transport via diffusion (extracellular to periplasm)	cobalt2[e] <==> cobalt2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CRNtex	L-carnitine transport via diffusion (extracellular to periplasm)	crn[e] <==> crn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CSNtex	cytosine transport via diffusion (extracellular to periplasm)	csn[e] <==> csn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CU2tex	copper (Cu+2) transport via diffusion (extracellular to periplasm)	cu2[e] <==> cu2[p]	( b2215  or  b0241  or  b0929  or  b1377 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CUtex	copper (Cu+1) transport via diffusion (extracellular to periplasm)	cu[e] <==> cu[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CYANtex	Cyanide transport via diffusion (extracellular to periplasm)	cyan[e] <==> cyan[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CYNTtex	Cyanate transport via diffusion (extracellular to periplasm)	cynt[e] <==> cynt[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CYSDtex	D-cysteine transport via diffusion (extracellular to periplasm)	cys-D[e] <==> cys-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CYStex	L-cysteine transport via diffusion (extracellular to periplasm)	cys-L[e] <==> cys-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
CYTDtex	cytidine transport via diffusion (extracellular to periplasm)	cytd[e] <==> cytd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DALAtex	D-Alanine transport via diffusion (extracellular to periplasm)	ala-D[e] <==> ala-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DAMPtex	dAMP transport via diffusion (extracellular to periplasm)	damp[e] <==> damp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DAPtex	"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)"	15dap[e] <==> 15dap[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DCAtex	Decanoate transport via diffusion (extracellular to periplasm)	dca[e] <==> dca[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DCMPtex	dCMP transport via diffusion (extracellular to periplasm)	dcmp[e] <==> dcmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DDGLCNtex	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	2ddglcn[e] <==> 2ddglcn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DGMPtex	dGMP transport via diffusion (extracellular to periplasm)	dgmp[e] <==> dgmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DGSNtex	deoxyguanosine transport via diffusion (extracellular to periplasm)	dgsn[e] <==> dgsn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DHAtex	Dihydroxyacetone transport via diffusion (extracellular to periplasm)	dha[e] <==> dha[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DIMPtex	dIMP transport via diffusion (extracellular to periplasm)	dimp[e] <==> dimp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DINStex	deoxyinosine transport via diffusion (extracellular to periplasm)	din[e] <==> din[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
D-LACtex	D-lactate transport via diffusion (extracellular to periplasm)	lac-D[e] <==> lac-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	dmso[e] <==> dmso[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DMStex	Dimethyl sulfide transport via diffusion (extracellular to periplasm)	dms[e] <==> dms[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DOPAtex	dopamine transport via diffusion (extracellular to periplasm)	dopa[e] <==> dopa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DSERtex	D-serine transport via diffusion (extracellular to periplasm)	ser-D[e] <==> ser-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DTMPtex	dTMP transport via diffusion (extracellular to periplasm)	dtmp[e] <==> dtmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
DUMPtex	dUMP transport via diffusion (extracellular to periplasm)	dump[e] <==> dump[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ETHAtex	ethanolamine transport via diffusion (extracellular)	etha[e] <==> etha[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ETHSO3tex	ethanesulfonate transport via diffusion (extracellular to periplasm)	ethso3[e] <==> ethso3[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ETOHtex	ethanol transport via diffusion (extracellular to periplasm)	etoh[e] <==> etoh[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
F6Ptex	fructose 6-phosphate transport via diffusion (extracellular to periplasm)	f6p[e] <==> f6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FALDtex	formaldehyde transport via diffusion (extracellular to periplasm)	fald[e] <==> fald[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FALDtpp	formaldehyde transport via diffusion (periplasm)	fald[p] <==> fald[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
FE2tex	iron (II) transport via diffusion (extracellular to periplasm)	fe2[e] <==> fe2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FE3tex	iron (III) transport via diffusion (extracellular to periplasm)	fe3[e] <==> fe3[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FORtex	formate transport via diffusion (extracellular to periplasm)	for[e] <==> for[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FRULYStex	fructoselysine transporter via diffusion (extracellular)	frulys[e] <==> frulys[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FRUURtex	D-fructuronate transport via diffusion (extracellular)	fruur[e] <==> fruur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	fum[e] <==> fum[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
G1Ptex	D-glucose 1-phosphate transport via diffusion	g1p[e] <==> g1p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
G3PCtex	glycero-3-phosphocholine transport via diffusion (extracellular to periplasm)	g3pc[e] <==> g3pc[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
G3PEtex	glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)	g3pe[e] <==> g3pe[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
G3PGtex	glycerophoglycerol transport via diffusion (extracellular to periplasm)	g3pg[e] <==> g3pg[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
G3PItex	glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)	g3pi[e] <==> g3pi[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
G6Ptex	glucose 6-phosphate transport via diffusion (extracellular to periplasm)	g6p[e] <==> g6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
GAL1Ptex	D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)	gal1p[e] <==> gal1p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)	galctn-D[e] <==> galctn-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	galct-D[e] <==> galct-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)	galur[e] <==> galur[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
GAMAN6Ptex	D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm)	gam6p[e] <==> gam6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
GAMtex	D-glucosamine transport via diffusion (extracellular to periplasm)	gam[e] <==> gam[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
