abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	3hpppn[e] <==> 3hpppn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
HXAtex	Hexanoate transport via diffusion (extracellular to periplasm)	hxa[e] <==> hxa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
HYXNtex	Hypoxanthine transport via diffusion (extracellular to periplasm)	hxan[e] <==> hxan[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
IDONtex	L-idonate transport via diffusion (extracellular to periplasm)	idon-L[e] <==> idon-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)	ile-L[e] <==> ile-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
IMPtex	IMP transport via diffusion (extracellular to periplasm)	imp[e] <==> imp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	indole[e] <==> indole[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
INSTtex	inositol transport via diffusion (extracellular to periplasm)	inost[e] <==> inost[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ISETACtex	isethionate transport via diffusion (extracellular to periplasm)	isetac[e] <==> isetac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
Ktex	potassium transport via diffusion (extracellular to periplasm)	k[e] <==> k[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	leu-L[e] <==> leu-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
L-LACtex	L-lactate transport via diffusion (extracellular to periplasm)	lac-L[e] <==> lac-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
LYStex	L-lysine transport via diffusion (extracellular to periplasm)	lys-L[e] <==> lys-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MALDtex	D-Malate transport via diffusion (extracellular to periplasm)	mal-D[e] <==> mal-D[p]	( b1377  or  b0929  or  b2215  or  b0241 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MALtex	Malate transport via diffusion (extracellular to periplasm)	mal-L[e] <==> mal-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MAN6Ptex	Mannose 6-phosphate transport via diffusion (extracellular to periplasm)	man6p[e] <==> man6p[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MANGLYCtex	2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm)	manglyc[e] <==> manglyc[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
METDtex	D-methionine transport via diffusion (extracellular to periplasm)	met-D[e] <==> met-D[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
METSOX1tex	L-methionine S-oxide diffusion (extracellular)	metsox-S-L[e] <==> metsox-S-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
METtex	L-methionine transport via diffusion (extracellular to periplasm)	met-L[e] <==> met-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MG2tex	magnesium (Mg+2) transport via diffusion (extracellular to periplasm)	mg2[e] <==> mg2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MMETtex	S-methyl-L-methionine transport via diffusion (extracellular to periplasm)	mmet[e] <==> mmet[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MNLtex	mannitol transport via diffusion (extracellular to periplasm)	mnl[e] <==> mnl[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MNtex	Manganese (Mn+2) transport via diffusion (extracellular to periplasm)	mn2[e] <==> mn2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MOBDtex	molybdate transport via diffusion (extracellular to periplasm)	mobd[e] <==> mobd[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
MSO3tex	methanesulfonate transport via diffusion (extracellular to periplasm)	mso3[e] <==> mso3[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
N2Otex	nitrious oxide transport via diffusion (extracellular to periplasm)	n2o[e] <==> n2o[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
N2Otpp	nitrious oxide transport (diffusion)	n2o[p] <==> n2o[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
NACtex	Nicotinic acid transport via diffusion (extracellular to periplasm)	nac[e] <==> nac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NAtex	sodium transport via diffusion (extracellular to periplasm)	na1[e] <==> na1[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NH4tex	ammonia transport via diffusion (extracellular to periplasm)	nh4[e] <==> nh4[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NI2tex	nickel transport via diffusion (extracellular to periplasm)	ni2[e] <==> ni2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NMNtex	NMN transport via diffusion (extracellular to periplasm)	nmn[e] <==> nmn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NO2tex	nitrite transport via diffusion (extracellular to periplasm)	no2[e] <==> no2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NO3tex	nitrate transport via diffusion (extracellular to periplasm)	no3[e] <==> no3[p]	( b0241  or  b0929  or  b2215  or  b1377 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NOtex	nitric oxide transport via diffusion (extracellular to periplasm)	no[e] <==> no[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
NOtpp	NO transport (diffusion)	no[p] <==> no[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
O2Stex	superoxide anion transport via diffusion (extracellular to periplasm)	o2s[e] <==> o2s[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
O2tex	oxygen transport via diffusion (extracellular to periplasm)	o2[e] <==> o2[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
O2tpp	o2 transport via diffusion (periplasm)	o2[p] <==> o2[c]	s0001			(:DIFFUSION)	(:INNER-MEMBRANE-DIFFUSION)
OCTAtex	Octanoate transport via diffusion (extracellular to periplasm)	octa[e] <==> octa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
ORNtex	ornithine transport via diffusion (extracellular to periplasm)	orn[e] <==> orn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
OROTtex	Orotate transport via diffusion (extracellular to periplasm)	orot[e] <==> orot[p]	( b1377  or  b0929  or  b0241  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PACALDtex	phenethylacetaldehyde transport via diffusion (extracellular to periplasm)	pacald[e] <==> pacald[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PEAMNtex	phenethylamine transport via diffusion (extracellular to periplasm)	peamn[e] <==> peamn[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
PHEtex	L-phenylalanine transport via diffusion (extracellular to periplasm)	phe-L[e] <==> phe-L[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
