ID	Model	Organism	Taxonomy	Author	Year	Publication	HasFile	Valid?	Erro
39	iGT196	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Buchnera; Buchnera aphidicola; Buchnera aphidicola (Acyrthosiphon pisum)	Thomas	2009	http://dx.doi.org/10.1186/1752-0509-3-24	true	false	
3	iMM904	Saccharomyces cerevisiae	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces	Mo	2007	http://dx.doi.org/10.1186/1752-0509-3-37	true	true	
67	iRR1083	Salmonella typhimurium LT2	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	Raghunathan	2009	http://dx.doi.org/10.1186/1752-0509-3-38	true	true	
46	iRS605	Francisella tularensis subsp. holarctica LVS	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Francisellaceae; Francisella; Francisella tularensis; Francisella tularensis subsp. holarctica	Raghunathan	2010	http://dx.doi.org/10.1186/1752-0509-4-118	false	false	
98	iMM1415	Mus musculus	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Euarchontoglires; Glires; 	Sigurdsson	2010	http://dx.doi.org/10.1186/1752-0509-4-140	true	false	
76	iSyn669	Synechocystis sp. PCC 6803	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis	Montagud	2010	http://dx.doi.org/10.1186/1752-0509-4-156	false	false	
16	iNJ661m	Mycobacterium tuberculosis str. H37Rv	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium	Fang	2010	http://dx.doi.org/10.1186/1752-0509-4-160	true	true	
15	iSR432	Clostridium thermocellum str. ATCC 27405	 Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae	Roberts	2010	http://dx.doi.org/10.1186/1752-0509-4-31	true	true	
36	RehMBEL1391	Ralstonia eutropha H16	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Cupriavidus	Park	2007	http://dx.doi.org/10.1186/1752-0509-5-101	false	false	
88	iRsp1095	Rhodobacter sphaeroides 2.4.1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter; Rhodobacter sphaeroides	Imam	2011	http://dx.doi.org/10.1186/1752-0509-5-116	true	true	
40	iOA584	Chromohalobacter salexigens DSM 3043	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Chromohalobacter; Chromohalobacter salexigens	Ates	2011	http://dx.doi.org/10.1186/1752-0509-5-12	true	false	
17	iCM925	Clostridium beijerinckii str. NCIMB 8052	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae	Milne	2011	http://dx.doi.org/10.1186/1752-0509-5-130	true	true	
62	iPC815	Yersinia pestis CO92	 Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia	Charusanti	2011	http://dx.doi.org/10.1186/1752-0509-5-163	true	true	
108	iRP911	Methylobacterium extorquens AM1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium; Methylobacterium extorquens group; Methylobacterium extorquens	Peyraud	2011	http://dx.doi.org/10.1186/1752-0509-5-189	true	false	
95	iVS941	 Methanosarcina acetivorans C2A	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina acetivorans	Kumar	2011	http://dx.doi.org/10.1186/1752-0509-5-28	true	false	
65	STM_v1.0	Salmonella typhimurium LT2	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	Thiele	2011	http://dx.doi.org/10.1186/1752-0509-5-8	true	true	
107	iKF1028	Burkholderia cenocepacia J2315	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex; Burkholderia cenocepacia	Fang	2011	http://dx.doi.org/10.1186/1752-0509-5-83	true	false	
96	iLC915	Pichia pastoris GS115	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Komagataella; Komagataella pastoris	Caspeta	2012	http://dx.doi.org/10.1186/1752-0509-6-24	true	false	
109	iSS884	Pichia stipitis	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Scheffersomyces	Caspeta	2012	http://dx.doi.org/10.1186/1752-0509-6-24	true	false	
119	iCAC490	Clostridium acetobutylicum ATCC 824	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium acetobutylicum	McAnulty	2012	http://dx.doi.org/10.1186/1752-0509-6-42	true	true	
102	SpoMBEL1693	Schizosaccharomyces pombe	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces	Sohn	2012	http://dx.doi.org/10.1186/1752-0509-6-49	true	false	
115	iAK692	Spirulina platensis C1	Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Arthrospira; Arthrospira platensis	Klanchui	2012	http://dx.doi.org/10.1186/1752-0509-6-71	true	false	
123	iCyc792	 Cyanothece sp. PCC 7424	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece	Mueller	2013	http://dx.doi.org/10.1186/1752-0509-7-142	true	false	
124	iCyn731	Cyanothece sp. PCC 7425	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece	Mueller	2013	http://dx.doi.org/10.1186/1752-0509-7-142	true	false	
125	iCyj826	Cyanothece sp. PCC 7822	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece	Mueller	2013	http://dx.doi.org/10.1186/1752-0509-7-142	true	false	
126	iCyp752	Cyanothece sp. PCC 8801	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece	Mueller	2013	http://dx.doi.org/10.1186/1752-0509-7-142	true	false	
127	iCyh755	Cyanothece sp. PCC 8802	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece	Mueller	2013	http://dx.doi.org/10.1186/1752-0509-7-142	true	false	
87	iSB1139	 Pseudomonas fluorescens SBW25	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group; Pseudomonas fluorescens	Borgos	2013	http://dx.doi.org/10.1186/1752-0509-7-19	true	false	
77	iTO977	Saccharomyces cerevisiae	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces	Österlund	2013	http://dx.doi.org/10.1186/1752-0509-7-36	true	true	
130	iBif452	Bifidobacterium adolescentis L2-32	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium	El-Semman	2014	http://dx.doi.org/10.1186/1752-0509-8-41	true	false	
131	iFap484	Faecalibacterium prausnitzii A2-165	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	El-Semman	2014	http://dx.doi.org/10.1186/1752-0509-8-41	true	false	
86	iTL885	Scheffersomyces stipitis	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Scheffersomyces	Liu	2012	http://dx.doi.org/10.1186/1754-6834-5-72	true	false	
1	iJR904	Escherichia coli str. K12 substr. MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia	Reed	2003	http://dx.doi.org/10.1186/gb-2003-4-9-r54	true	true	
58	GSMN-TB	Mycobacterium tuberculosis str. H37Rv	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium	Beste	2007	http://dx.doi.org/10.1186/gb-2007-8-5-r89	true	false	
31	iGB555	Neisseria meningitidis serogroup B	 Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	Baart	2007	http://dx.doi.org/10.1186/gb-2007-8-7-r136	true	false	
18	iBsu1103	Bacillus subtilis 168	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;	Henry	2009	http://dx.doi.org/10.1186/gb-2009-10-6-r69	true	true	
114	Nmb_iTM560	Neisseria meningitidis	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria	Mendum	2011	http://dx.doi.org/10.1186/gb-2011-12-12-r127	true	false	
