ID	Model	Organism	Taxonomy	Author	Year	Publication	HasFile	Valid?	Erro
2	iAF1260	Escherichia coli str. K12 substr. MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia	Feist	2007	http://dx.doi.org/10.1038/msb4100155	true	true	
30	recon2	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Euarchontoglires; Primates; Haplorrhini; Simiifo	Thiele	2013	http://dx.doi.org/10.1038/nbt.2488	true	true	
55	iSH335	Mannheimia succiniciproducens MBEL55E	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Basfia; Mannheimia succiniciproducens	Hong	2004	http://dx.doi.org/10.1038/nbt1010	false	false	
10	Consensus v4	Yeast	Eukaryota; Opisthokonta; Fungi;	Herrgård	2008	http://dx.doi.org/10.1038/nbt1492	false	false	
24	iMH805/775	Saccharomyces cerevisiae str. Sc288 	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae	Herrgård	2008	http://dx.doi.org/10.1038/nbt1492	true	false	
81	iAM303	Chlamydomonas reinhardtii	Eukaryota; Viridiplantae; Chlorophyta; Chlorophyceae; Chlamydomonadales; Chlamydomonadaceae	Manichaikul	2009	http://dx.doi.org/10.1038/nmeth.1348	true	true	
61	iAN818m	Yersinia pestis biovar Microtus str. 91001	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia; Yersinia pestis	Navid and Almaas	2009	http://dx.doi.org/10.1039/B818710J	true	false	
12	AbyMBEL891	Acinetobacter baumannii AYE	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter	Kim	2010	http://dx.doi.org/10.1039/B916446D	true	false	
129	iJL1454	Aspergillus terreus NIH2624	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus terreus	Jie Liu	2013	http://dx.doi.org/10.1039/C3MB70090A	true	false	
141	iMM518	Methanococcus maripaludis S2	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus; Methanococcus maripaludis	N. Goyal	2014	http://dx.doi.org/10.1039/c3mb70421a	true	false	
78	iJN678	Synechocystis	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales	Nogales et al.	2011	http://dx.doi.org/10.1073/pnas.1117907109	true	true	
45	iJE660	Escherichia coli str. K12 substr. MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia	Edwards	2000	http://dx.doi.org/10.1073/pnas.97.10.5528	false	false	
49	iJE296	Haemophilus influenzae Rd KW20	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus influenzae	Edwards	1999	http://dx.doi.org/10.1074/jbc.274.25.17410	false	false	
66	iMA945	Salmonella typhimurium LT2	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella	AbuOun	2009	http://dx.doi.org/10.1074/jbc.M109.005868	true	false	
53	iBT721	Lactobacillus plantarum WCFS1	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus plantarum	Teusink	2012	http://dx.doi.org/10.1074/jbc.M606263200	true	false	
38	iYO844	Bacillus subtilis	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group	Oh	2007	http://dx.doi.org/10.1074/jbc.M703759200	true	true	
25	iND750	Saccharomyces cerevisiae str. Sc288 	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae	Duarte	2004	http://dx.doi.org/10.1101/gr.2250904	true	true	
7	iFF708	Saccharomyces cerevisiae str. Sc288 	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae	Förster	2003	http://dx.doi.org/10.1101/gr.234503	true	false	
73	iIB700	Streptomyces coelicolor A3(2)	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces	Borodina	2005	http://dx.doi.org/10.1101/gr.3364705	true	false	
100	iLL672	Saccharomyces cerevisiae	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Saccharomyces	Kuepfer	2005	http://dx.doi.org/10.1101/gr.3992505	true	false	
136	Arabidopsis core model	Arabidopsis thaliana	Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons; rosids; malvids; Brassicales; Brassicaceae; Camelineae;	Arnold	2014	http://dx.doi.org/10.1104/pp.114.235358	true	false	
135	iMF721	Pseudoalteromonas haloplanktis TAC125	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas; Pseudoalteromonas haloplanktis	Fondi	2014	http://dx.doi.org/10.1111/1462-2920.12513	true	false	
134	EctoGEM-1.0	Ectocarpus siliculosus	Eukaryota; Stramenopiles; PX clade; Phaeophyceae; Ectocarpales; Ectocarpaceae; Ectocarpus	Prigent	2014	http://dx.doi.org/10.1111/tpj.12627	true	false	
29	iTZ479	Thermotoga maritima str. MSB8	Bacteria; Thermotogae; Thermotogae; Thermotogales; Thermotogaceae	Zhang	2009	http://dx.doi.org/10.1126/science.1174671	true	true	
72	iMP429	Streptococcus thermophilus LMG 18311	 Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	Pastink	2009	http://dx.doi.org/10.1128/AEM.00138-09	false	false	
143	iNV706	Enterococcus faecalis V583	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis	N. Veith	2014	http://dx.doi.org/10.1128/AEM.03279-14	false	false	
48	iRM588	Geobacter sulfurreducens	Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter	Mahadevan	2006	http://dx.doi.org/10.1128/AEM.72.2.1558-1568.2006	true	false	
22	Ecoli core Model	Escherichia coli str. K12 substr. MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia	Orth	2010	http://dx.doi.org/10.1128/ecosal.10.2.1	true	true	
32	iVM679	Porphyromonas gingivalis W83	 Bacteria; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas	Mazumdar	2009	http://dx.doi.org/10.1128/JB.01123-08	true	false	
14	iYL1228	Klebsiella pneumoniae str. MGH 78578	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae	Liao	2011	http://dx.doi.org/10.1128/JB.01218-10	true	true	
5	iMO1056	Pseudomonas aeruginosa str. PAO1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	Oberhardt	2008	http://dx.doi.org/10.1128/JB.01583-07	false	false	
71	iDL546	Staphylococcus aureus	 Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae	Lee	2009	http://dx.doi.org/10.1128/JB.01743-08	true	false	
82	iMB745	Methanosarcina acetivorans str. C2A	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina acetivorans	Benedict	2012	http://dx.doi.org/10.1128/JB.06040-11	true	true	
51	iCS291	Helicobacter pylori str. 26695	 Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae	Schilling	2002	http://dx.doi.org/10.1128/JB.184.16.4582-4593.2002	true	false	
23	iIT341	Helicobacter pylori str. 26695	 Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae	Thiele	2005	http://dx.doi.org/10.1128/JB.187.16.5818-5830.2005	true	true	
68	ICR744	Rhodoferax ferrireducens T118	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Albidiferax	Risso	2009	http://dx.doi.org/10.1186/1471-2164-10-447	true	false	
74	iMA789	Streptomyces coelicolor A3(2)	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces	Alam	2010	http://dx.doi.org/10.1186/1471-2164-11-202	true	false	
