REACTION ID	ASSOCIATED PEG
rxn05674	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05676	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05679	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05691	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05694	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05697	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05699	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05700	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05714	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05716	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05717	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05718	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05721	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05722	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05724	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn05727	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11395	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11397	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11398	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11399	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11400	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11401	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11402	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11403	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11404	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11405	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn11407	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn12519	OPEN PROBLEM REACTION ADDED BASED ON BIOLOGIN DATA
rxn00062	SPONTANEOUS
rxn00734	SPONTANEOUS
rxn01208	SPONTANEOUS
rxn01521	SPONTANEOUS
rxn01664	SPONTANEOUS
rxn02374	SPONTANEOUS
rxn02666	SPONTANEOUS
rxn02916	SPONTANEOUS
rxn03012	SPONTANEOUS
rxn04132	SPONTANEOUS
rxn04133	SPONTANEOUS
rxn04456	SPONTANEOUS
rxn04457	SPONTANEOUS
rxn05064	SPONTANEOUS
rxn05116	SPONTANEOUS
rxn05319	SPONTANEOUS
rxn05467	SPONTANEOUS
rxn05468	SPONTANEOUS
rxn11921	SPONTANEOUS
rxn00141	GROWMATCH
rxn00327	GROWMATCH
rxn00396	GROWMATCH
rxn00430	GROWMATCH
rxn00490	GROWMATCH
rxn00538	GROWMATCH
rxn00539	GROWMATCH
rxn00542	GROWMATCH
rxn00582	GROWMATCH
rxn00751	GROWMATCH
rxn00762	GROWMATCH
rxn00787	GROWMATCH
rxn00877	GROWMATCH
rxn00892	GROWMATCH
rxn00897	GROWMATCH
rxn00916	GROWMATCH
rxn00980	GROWMATCH
rxn01152	GROWMATCH
rxn01290	GROWMATCH
rxn01322	GROWMATCH
rxn01813	GROWMATCH
rxn01903	GROWMATCH
rxn02270	GROWMATCH
rxn03856	GROWMATCH
rxn04464	GROWMATCH
rxn05085	GROWMATCH
rxn05255	GROWMATCH
rxn05310	GROWMATCH
rxn05472	GROWMATCH
rxn05678	GROWMATCH
rxn09212	GROWMATCH
rxn09907	GROWMATCH
rxn09925	GROWMATCH
rxn10541	GROWMATCH
rxn11408	GROWMATCH
	
	
